stnId,hourCount,month,day,hour,interpHourlyDischarge
20332,1,1,1,0,174.439
20332,2,1,1,1,174.171
20332,3,1,1,2,173.903
20332,4,1,1,3,173.634
20332,5,1,1,4,173.366
20332,6,1,1,5,173.098
20332,7,1,1,6,172.830
20332,8,1,1,7,172.562
20332,9,1,1,8,172.293
20332,10,1,1,9,172.025
20332,11,1,1,10,171.757
20332,12,1,1,11,171.489
20332,13,1,1,12,171.221
20332,14,1,1,13,170.952
20332,15,1,1,14,170.684
20332,16,1,1,15,170.416
20332,17,1,1,16,170.148
20332,18,1,1,17,169.879
20332,19,1,1,18,169.611
20332,20,1,1,19,169.343
20332,21,1,1,20,169.075
20332,22,1,1,21,168.807
20332,23,1,1,22,168.538
20332,24,1,1,23,168.270
20332,25,1,2,0,168.002
20332,26,1,2,1,167.702
20332,27,1,2,2,167.403
20332,28,1,2,3,167.103
20332,29,1,2,4,166.803
20332,30,1,2,5,166.503
20332,31,1,2,6,166.204
20332,32,1,2,7,165.904
20332,33,1,2,8,165.604
20332,34,1,2,9,165.305
20332,35,1,2,10,165.005
20332,36,1,2,11,164.705
20332,37,1,2,12,164.406
20332,38,1,2,13,164.106
20332,39,1,2,14,163.806
20332,40,1,2,15,163.506
20332,41,1,2,16,163.207
20332,42,1,2,17,162.907
20332,43,1,2,18,162.607
20332,44,1,2,19,162.308
20332,45,1,2,20,162.008
20332,46,1,2,21,161.708
20332,47,1,2,22,161.408
20332,48,1,2,23,161.109
20332,49,1,3,0,160.809
20332,50,1,3,1,160.780
20332,51,1,3,2,160.750
20332,52,1,3,3,160.721
20332,53,1,3,4,160.692
20332,54,1,3,5,160.662
20332,55,1,3,6,160.633
20332,56,1,3,7,160.604
20332,57,1,3,8,160.574
20332,58,1,3,9,160.545
20332,59,1,3,10,160.516
20332,60,1,3,11,160.486
20332,61,1,3,12,160.457
20332,62,1,3,13,160.428
20332,63,1,3,14,160.398
20332,64,1,3,15,160.369
20332,65,1,3,16,160.340
20332,66,1,3,17,160.310
20332,67,1,3,18,160.281
20332,68,1,3,19,160.252
20332,69,1,3,20,160.222
20332,70,1,3,21,160.193
20332,71,1,3,22,160.164
20332,72,1,3,23,160.134
20332,73,1,4,0,160.105
20332,74,1,4,1,160.041
20332,75,1,4,2,159.977
20332,76,1,4,3,159.913
20332,77,1,4,4,159.849
20332,78,1,4,5,159.785
20332,79,1,4,6,159.721
20332,80,1,4,7,159.657
20332,81,1,4,8,159.593
20332,82,1,4,9,159.529
20332,83,1,4,10,159.465
20332,84,1,4,11,159.401
20332,85,1,4,12,159.337
20332,86,1,4,13,159.273
20332,87,1,4,14,159.209
20332,88,1,4,15,159.145
20332,89,1,4,16,159.081
20332,90,1,4,17,159.017
20332,91,1,4,18,158.953
20332,92,1,4,19,158.889
20332,93,1,4,20,158.825
20332,94,1,4,21,158.761
20332,95,1,4,22,158.697
20332,96,1,4,23,158.633
20332,97,1,5,0,158.569
20332,98,1,5,1,158.544
20332,99,1,5,2,158.520
20332,100,1,5,3,158.495
20332,101,1,5,4,158.470
20332,102,1,5,5,158.446
20332,103,1,5,6,158.421
20332,104,1,5,7,158.397
20332,105,1,5,8,158.372
20332,106,1,5,9,158.347
20332,107,1,5,10,158.323
20332,108,1,5,11,158.298
20332,109,1,5,12,158.274
20332,110,1,5,13,158.249
20332,111,1,5,14,158.224
20332,112,1,5,15,158.200
20332,113,1,5,16,158.175
20332,114,1,5,17,158.150
20332,115,1,5,18,158.126
20332,116,1,5,19,158.101
20332,117,1,5,20,158.077
20332,118,1,5,21,158.052
20332,119,1,5,22,158.027
20332,120,1,5,23,158.003
20332,121,1,6,0,157.978
20332,122,1,6,1,158.377
20332,123,1,6,2,158.777
20332,124,1,6,3,159.176
20332,125,1,6,4,159.576
20332,126,1,6,5,159.975
20332,127,1,6,6,160.374
20332,128,1,6,7,160.774
20332,129,1,6,8,161.173
20332,130,1,6,9,161.572
20332,131,1,6,10,161.972
20332,132,1,6,11,162.371
20332,133,1,6,12,162.770
20332,134,1,6,13,163.170
20332,135,1,6,14,163.569
20332,136,1,6,15,163.969
20332,137,1,6,16,164.368
20332,138,1,6,17,164.767
20332,139,1,6,18,165.167
20332,140,1,6,19,165.566
20332,141,1,6,20,165.965
20332,142,1,6,21,166.365
20332,143,1,6,22,166.764
20332,144,1,6,23,167.164
20332,145,1,7,0,167.563
20332,146,1,7,1,167.323
20332,147,1,7,2,167.083
20332,148,1,7,3,166.843
20332,149,1,7,4,166.604
20332,150,1,7,5,166.364
20332,151,1,7,6,166.124
20332,152,1,7,7,165.884
20332,153,1,7,8,165.644
20332,154,1,7,9,165.404
20332,155,1,7,10,165.165
20332,156,1,7,11,164.925
20332,157,1,7,12,164.685
20332,158,1,7,13,164.445
20332,159,1,7,14,164.205
20332,160,1,7,15,163.965
20332,161,1,7,16,163.726
20332,162,1,7,17,163.486
20332,163,1,7,18,163.246
20332,164,1,7,19,163.006
20332,165,1,7,20,162.766
20332,166,1,7,21,162.526
20332,167,1,7,22,162.287
20332,168,1,7,23,162.047
20332,169,1,8,0,161.807
20332,170,1,8,1,161.480
20332,171,1,8,2,161.153
20332,172,1,8,3,160.826
20332,173,1,8,4,160.499
20332,174,1,8,5,160.171
20332,175,1,8,6,159.844
20332,176,1,8,7,159.517
20332,177,1,8,8,159.190
20332,178,1,8,9,158.863
20332,179,1,8,10,158.536
20332,180,1,8,11,158.209
20332,181,1,8,12,157.881
20332,182,1,8,13,157.554
20332,183,1,8,14,157.227
20332,184,1,8,15,156.900
20332,185,1,8,16,156.573
20332,186,1,8,17,156.246
20332,187,1,8,18,155.919
20332,188,1,8,19,155.592
20332,189,1,8,20,155.264
20332,190,1,8,21,154.937
20332,191,1,8,22,154.610
20332,192,1,8,23,154.283
20332,193,1,9,0,153.956
20332,194,1,9,1,153.505
20332,195,1,9,2,153.053
20332,196,1,9,3,152.602
20332,197,1,9,4,152.150
20332,198,1,9,5,151.699
20332,199,1,9,6,151.248
20332,200,1,9,7,150.796
20332,201,1,9,8,150.345
20332,202,1,9,9,149.894
20332,203,1,9,10,149.442
20332,204,1,9,11,148.991
20332,205,1,9,12,148.539
20332,206,1,9,13,148.088
20332,207,1,9,14,147.637
20332,208,1,9,15,147.185
20332,209,1,9,16,146.734
20332,210,1,9,17,146.283
20332,211,1,9,18,145.831
20332,212,1,9,19,145.380
20332,213,1,9,20,144.928
20332,214,1,9,21,144.477
20332,215,1,9,22,144.026
20332,216,1,9,23,143.574
20332,217,1,10,0,143.123
20332,218,1,10,1,143.732
20332,219,1,10,2,144.340
20332,220,1,10,3,144.949
20332,221,1,10,4,145.558
20332,222,1,10,5,146.167
20332,223,1,10,6,146.775
20332,224,1,10,7,147.384
20332,225,1,10,8,147.993
20332,226,1,10,9,148.601
20332,227,1,10,10,149.210
20332,228,1,10,11,149.819
20332,229,1,10,12,150.428
20332,230,1,10,13,151.036
20332,231,1,10,14,151.645
20332,232,1,10,15,152.254
20332,233,1,10,16,152.862
20332,234,1,10,17,153.471
20332,235,1,10,18,154.080
20332,236,1,10,19,154.688
20332,237,1,10,20,155.297
20332,238,1,10,21,155.906
20332,239,1,10,22,156.515
20332,240,1,10,23,157.123
20332,241,1,11,0,157.732
20332,242,1,11,1,157.952
