stnId,hourCount,month,day,hour,interpHourlyDischarge
21018,1,1,1,0,9.712
21018,2,1,1,1,9.714
21018,3,1,1,2,9.716
21018,4,1,1,3,9.717
21018,5,1,1,4,9.719
21018,6,1,1,5,9.721
21018,7,1,1,6,9.723
21018,8,1,1,7,9.725
21018,9,1,1,8,9.726
21018,10,1,1,9,9.728
21018,11,1,1,10,9.730
21018,12,1,1,11,9.732
21018,13,1,1,12,9.733
21018,14,1,1,13,9.735
21018,15,1,1,14,9.737
21018,16,1,1,15,9.739
21018,17,1,1,16,9.741
21018,18,1,1,17,9.742
21018,19,1,1,18,9.744
21018,20,1,1,19,9.746
21018,21,1,1,20,9.748
21018,22,1,1,21,9.750
21018,23,1,1,22,9.751
21018,24,1,1,23,9.753
21018,25,1,2,0,9.755
21018,26,1,2,1,9.746
21018,27,1,2,2,9.737
21018,28,1,2,3,9.728
21018,29,1,2,4,9.719
21018,30,1,2,5,9.709
21018,31,1,2,6,9.700
21018,32,1,2,7,9.691
21018,33,1,2,8,9.682
21018,34,1,2,9,9.673
21018,35,1,2,10,9.664
21018,36,1,2,11,9.655
21018,37,1,2,12,9.646
21018,38,1,2,13,9.636
21018,39,1,2,14,9.627
21018,40,1,2,15,9.618
21018,41,1,2,16,9.609
21018,42,1,2,17,9.600
21018,43,1,2,18,9.591
21018,44,1,2,19,9.582
21018,45,1,2,20,9.572
21018,46,1,2,21,9.563
21018,47,1,2,22,9.554
21018,48,1,2,23,9.545
21018,49,1,3,0,9.536
21018,50,1,3,1,9.523
21018,51,1,3,2,9.510
21018,52,1,3,3,9.496
21018,53,1,3,4,9.483
21018,54,1,3,5,9.470
21018,55,1,3,6,9.456
21018,56,1,3,7,9.443
21018,57,1,3,8,9.430
21018,58,1,3,9,9.417
21018,59,1,3,10,9.403
21018,60,1,3,11,9.390
21018,61,1,3,12,9.377
21018,62,1,3,13,9.364
21018,63,1,3,14,9.350
21018,64,1,3,15,9.337
21018,65,1,3,16,9.324
21018,66,1,3,17,9.311
21018,67,1,3,18,9.297
21018,68,1,3,19,9.284
21018,69,1,3,20,9.271
21018,70,1,3,21,9.258
21018,71,1,3,22,9.244
21018,72,1,3,23,9.231
21018,73,1,4,0,9.218
21018,74,1,4,1,9.211
21018,75,1,4,2,9.204
21018,76,1,4,3,9.198
21018,77,1,4,4,9.191
21018,78,1,4,5,9.184
21018,79,1,4,6,9.178
21018,80,1,4,7,9.171
21018,81,1,4,8,9.164
21018,82,1,4,9,9.157
21018,83,1,4,10,9.150
21018,84,1,4,11,9.144
21018,85,1,4,12,9.137
21018,86,1,4,13,9.130
21018,87,1,4,14,9.123
21018,88,1,4,15,9.117
21018,89,1,4,16,9.110
21018,90,1,4,17,9.103
21018,91,1,4,18,9.096
21018,92,1,4,19,9.090
21018,93,1,4,20,9.083
21018,94,1,4,21,9.076
21018,95,1,4,22,9.069
21018,96,1,4,23,9.063
21018,97,1,5,0,9.056
21018,98,1,5,1,9.050
21018,99,1,5,2,9.043
21018,100,1,5,3,9.037
21018,101,1,5,4,9.031
21018,102,1,5,5,9.024
21018,103,1,5,6,9.018
21018,104,1,5,7,9.012
21018,105,1,5,8,9.005
21018,106,1,5,9,8.999
21018,107,1,5,10,8.993
21018,108,1,5,11,8.986
21018,109,1,5,12,8.980
21018,110,1,5,13,8.974
21018,111,1,5,14,8.967
21018,112,1,5,15,8.961
21018,113,1,5,16,8.955
21018,114,1,5,17,8.948
21018,115,1,5,18,8.942
21018,116,1,5,19,8.936
21018,117,1,5,20,8.929
21018,118,1,5,21,8.923
21018,119,1,5,22,8.917
21018,120,1,5,23,8.910
21018,121,1,6,0,8.904
21018,122,1,6,1,8.897
21018,123,1,6,2,8.889
21018,124,1,6,3,8.882
21018,125,1,6,4,8.875
21018,126,1,6,5,8.868
21018,127,1,6,6,8.861
21018,128,1,6,7,8.853
21018,129,1,6,8,8.846
21018,130,1,6,9,8.839
21018,131,1,6,10,8.832
21018,132,1,6,11,8.824
21018,133,1,6,12,8.817
21018,134,1,6,13,8.810
21018,135,1,6,14,8.802
21018,136,1,6,15,8.795
21018,137,1,6,16,8.788
21018,138,1,6,17,8.781
21018,139,1,6,18,8.774
21018,140,1,6,19,8.766
21018,141,1,6,20,8.759
21018,142,1,6,21,8.752
21018,143,1,6,22,8.744
21018,144,1,6,23,8.737
21018,145,1,7,0,8.730
21018,146,1,7,1,8.730
21018,147,1,7,2,8.731
21018,148,1,7,3,8.731
21018,149,1,7,4,8.731
