stnId,hourCount,month,day,hour,interpHourlyDischarge
13590,1,1,1,0,182.805
13590,2,1,1,1,182.804
13590,3,1,1,2,182.803
13590,4,1,1,3,182.802
13590,5,1,1,4,182.800
13590,6,1,1,5,182.799
13590,7,1,1,6,182.798
13590,8,1,1,7,182.797
13590,9,1,1,8,182.796
13590,10,1,1,9,182.795
13590,11,1,1,10,182.794
13590,12,1,1,11,182.793
13590,13,1,1,12,182.791
13590,14,1,1,13,182.790
13590,15,1,1,14,182.789
13590,16,1,1,15,182.788
13590,17,1,1,16,182.787
13590,18,1,1,17,182.786
13590,19,1,1,18,182.785
13590,20,1,1,19,182.784
13590,21,1,1,20,182.782
13590,22,1,1,21,182.781
13590,23,1,1,22,182.780
13590,24,1,1,23,182.779
13590,25,1,2,0,182.778
13590,26,1,2,1,182.920
13590,27,1,2,2,183.062
13590,28,1,2,3,183.204
13590,29,1,2,4,183.346
13590,30,1,2,5,183.488
13590,31,1,2,6,183.629
13590,32,1,2,7,183.771
13590,33,1,2,8,183.913
13590,34,1,2,9,184.055
13590,35,1,2,10,184.197
13590,36,1,2,11,184.339
13590,37,1,2,12,184.481
13590,38,1,2,13,184.623
13590,39,1,2,14,184.765
13590,40,1,2,15,184.907
13590,41,1,2,16,185.049
13590,42,1,2,17,185.191
13590,43,1,2,18,185.333
13590,44,1,2,19,185.474
13590,45,1,2,20,185.616
13590,46,1,2,21,185.758
13590,47,1,2,22,185.900
13590,48,1,2,23,186.042
13590,49,1,3,0,186.184
13590,50,1,3,1,186.205
13590,51,1,3,2,186.227
13590,52,1,3,3,186.248
13590,53,1,3,4,186.270
13590,54,1,3,5,186.291
13590,55,1,3,6,186.313
13590,56,1,3,7,186.334
13590,57,1,3,8,186.356
13590,58,1,3,9,186.377
13590,59,1,3,10,186.399
13590,60,1,3,11,186.420
13590,61,1,3,12,186.442
13590,62,1,3,13,186.463
13590,63,1,3,14,186.484
13590,64,1,3,15,186.506
13590,65,1,3,16,186.527
13590,66,1,3,17,186.549
13590,67,1,3,18,186.570
13590,68,1,3,19,186.592
13590,69,1,3,20,186.613
13590,70,1,3,21,186.635
13590,71,1,3,22,186.656
13590,72,1,3,23,186.678
13590,73,1,4,0,186.699
13590,74,1,4,1,186.670
13590,75,1,4,2,186.642
13590,76,1,4,3,186.613
13590,77,1,4,4,186.584
13590,78,1,4,5,186.555
13590,79,1,4,6,186.526
13590,80,1,4,7,186.498
13590,81,1,4,8,186.469
13590,82,1,4,9,186.440
13590,83,1,4,10,186.411
13590,84,1,4,11,186.383
13590,85,1,4,12,186.354
13590,86,1,4,13,186.325
