stnId,hourCount,month,day,hour,interpHourlyDischarge
21032,1,1,1,0,7.126
21032,2,1,1,1,7.117
21032,3,1,1,2,7.108
21032,4,1,1,3,7.099
21032,5,1,1,4,7.090
21032,6,1,1,5,7.081
21032,7,1,1,6,7.072
21032,8,1,1,7,7.063
21032,9,1,1,8,7.054
21032,10,1,1,9,7.045
21032,11,1,1,10,7.036
21032,12,1,1,11,7.027
21032,13,1,1,12,7.018
21032,14,1,1,13,7.008
21032,15,1,1,14,6.999
21032,16,1,1,15,6.990
21032,17,1,1,16,6.981
21032,18,1,1,17,6.972
21032,19,1,1,18,6.963
21032,20,1,1,19,6.954
21032,21,1,1,20,6.945
21032,22,1,1,21,6.936
21032,23,1,1,22,6.927
21032,24,1,1,23,6.918
21032,25,1,2,0,6.909
21032,26,1,2,1,6.902
21032,27,1,2,2,6.894
21032,28,1,2,3,6.887
21032,29,1,2,4,6.880
21032,30,1,2,5,6.872
21032,31,1,2,6,6.865
21032,32,1,2,7,6.858
21032,33,1,2,8,6.850
21032,34,1,2,9,6.843
21032,35,1,2,10,6.836
21032,36,1,2,11,6.828
21032,37,1,2,12,6.821
21032,38,1,2,13,6.814
21032,39,1,2,14,6.806
21032,40,1,2,15,6.799
21032,41,1,2,16,6.792
21032,42,1,2,17,6.784
21032,43,1,2,18,6.777
21032,44,1,2,19,6.770
21032,45,1,2,20,6.762
21032,46,1,2,21,6.755
21032,47,1,2,22,6.748
21032,48,1,2,23,6.740
21032,49,1,3,0,6.733
21032,50,1,3,1,6.722
21032,51,1,3,2,6.710
21032,52,1,3,3,6.699
21032,53,1,3,4,6.688
21032,54,1,3,5,6.676
21032,55,1,3,6,6.665
21032,56,1,3,7,6.654
21032,57,1,3,8,6.642
21032,58,1,3,9,6.631
21032,59,1,3,10,6.620
21032,60,1,3,11,6.608
21032,61,1,3,12,6.597
21032,62,1,3,13,6.586
21032,63,1,3,14,6.574
21032,64,1,3,15,6.563
21032,65,1,3,16,6.552
21032,66,1,3,17,6.540
21032,67,1,3,18,6.529
21032,68,1,3,19,6.518
21032,69,1,3,20,6.506
