stnId,hourCount,month,day,hour,interpHourlyDischarge
50000,1,1,1,0,150.000
50000,2,1,1,1,150.000
50000,3,1,1,2,150.000
50000,4,1,1,3,150.000
50000,5,1,1,4,150.000
50000,6,1,1,5,150.000
50000,7,1,1,6,150.000
50000,8,1,1,7,150.000
50000,9,1,1,8,150.000
50000,10,1,1,9,150.000
50000,11,1,1,10,150.000
50000,12,1,1,11,150.000
50000,13,1,1,12,150.000
50000,14,1,1,13,150.000
50000,15,1,1,14,150.000
50000,16,1,1,15,150.000
50000,17,1,1,16,150.000
50000,18,1,1,17,150.000
50000,19,1,1,18,150.000
50000,20,1,1,19,150.000
50000,21,1,1,20,150.000
50000,22,1,1,21,150.000
50000,23,1,1,22,150.000
50000,24,1,1,23,150.000
50000,25,1,2,0,150.000
50000,26,1,2,1,150.000
50000,27,1,2,2,150.000
50000,28,1,2,3,150.000
50000,29,1,2,4,150.000
50000,30,1,2,5,150.000
50000,31,1,2,6,150.000
50000,32,1,2,7,150.000
50000,33,1,2,8,150.000
50000,34,1,2,9,150.000
50000,35,1,2,10,150.000
50000,36,1,2,11,150.000
50000,37,1,2,12,150.000
50000,38,1,2,13,150.000
50000,39,1,2,14,150.000
50000,40,1,2,15,150.000
50000,41,1,2,16,150.000
50000,42,1,2,17,150.000
50000,43,1,2,18,150.000
50000,44,1,2,19,150.000
50000,45,1,2,20,150.000
50000,46,1,2,21,150.000
50000,47,1,2,22,150.000
50000,48,1,2,23,150.000
50000,49,1,3,0,150.000
50000,50,1,3,1,150.000
50000,51,1,3,2,150.000
50000,52,1,3,3,150.000
50000,53,1,3,4,150.000
50000,54,1,3,5,150.000
50000,55,1,3,6,150.000
50000,56,1,3,7,150.000
50000,57,1,3,8,150.000
50000,58,1,3,9,150.000
50000,59,1,3,10,150.000
50000,60,1,3,11,150.000
50000,61,1,3,12,150.000
50000,62,1,3,13,150.000
50000,63,1,3,14,150.000
50000,64,1,3,15,150.000
50000,65,1,3,16,150.000
50000,66,1,3,17,150.000
50000,67,1,3,18,150.000
50000,68,1,3,19,150.000
50000,69,1,3,20,150.000
50000,70,1,3,21,150.000
50000,71,1,3,22,150.000
50000,72,1,3,23,150.000
50000,73,1,4,0,150.000
50000,74,1,4,1,150.000
50000,75,1,4,2,150.000
50000,76,1,4,3,150.000
50000,77,1,4,4,150.000
50000,78,1,4,5,150.000
50000,79,1,4,6,150.000
50000,80,1,4,7,150.000
50000,81,1,4,8,150.000
50000,82,1,4,9,150.000
50000,83,1,4,10,150.000
50000,84,1,4,11,150.000
50000,85,1,4,12,150.000
50000,86,1,4,13,150.000
50000,87,1,4,14,150.000
50000,88,1,4,15,150.000
50000,89,1,4,16,150.000
50000,90,1,4,17,150.000
50000,91,1,4,18,150.000
50000,92,1,4,19,150.000
50000,93,1,4,20,150.000
50000,94,1,4,21,150.000
50000,95,1,4,22,150.000
50000,96,1,4,23,150.000
50000,97,1,5,0,150.000
50000,98,1,5,1,150.000
50000,99,1,5,2,150.000
50000,100,1,5,3,150.000
50000,101,1,5,4,150.000
50000,102,1,5,5,150.000
50000,103,1,5,6,150.000
50000,104,1,5,7,150.000
50000,105,1,5,8,150.000
50000,106,1,5,9,150.000
50000,107,1,5,10,150.000
50000,108,1,5,11,150.000
50000,109,1,5,12,150.000
50000,110,1,5,13,150.000
50000,111,1,5,14,150.000
50000,112,1,5,15,150.000
50000,113,1,5,16,150.000
50000,114,1,5,17,150.000
50000,115,1,5,18,150.000
50000,116,1,5,19,150.000
50000,117,1,5,20,150.000
50000,118,1,5,21,150.000
50000,119,1,5,22,150.000
50000,120,1,5,23,150.000
50000,121,1,6,0,150.000
50000,122,1,6,1,150.000
50000,123,1,6,2,150.000
50000,124,1,6,3,150.000
50000,125,1,6,4,150.000
50000,126,1,6,5,150.000
50000,127,1,6,6,150.000
50000,128,1,6,7,150.000
50000,129,1,6,8,150.000
